osm_type,osm_id,osm_full_id,station_name,name_ko,name_en,lat,lon,railway,public_transport,station,subway,operator
node,6048953580,node/6048953580,숭실대입구,숭실대입구,Soongsil Univ.,37.4956862,126.9541334,station,station,subway,yes,서울교통공사
node,6048953581,node/6048953581,남성,남성,Namseong,37.4843545,126.9718936,station,station,subway,yes,서울교통공사
node,6048953582,node/6048953582,이수,이수,Isu,37.4854491,126.9821095,station,station,subway,yes,서울교통공사
node,6048953583,node/6048953583,내방,내방,Naebang,37.4876455,126.9935544,station,station,subway,yes,서울교통공사
node,6048953584,node/6048953584,반포,반포,Banpo,37.5081748,127.0116346,station,station,subway,yes,서울교통공사
node,6048954785,node/6048954785,논현,논현,Nonhyeon,37.5109791,127.0213641,station,station,subway,yes,서울교통공사;네오트랜스주식회사
node,6048954786,node/6048954786,학동,학동,Hak-dong,37.5139566,127.03075,station,station,subway,yes,서울교통공사
node,6048954787,node/6048954787,청담,청담,Cheongdam,37.5190912,127.0516784,station,station,subway,yes,서울교통공사
node,6048955198,node/6048955198,자양,자양,Jayang,37.5315323,127.0667418,station,station,subway,yes,서울교통공사
node,6049150842,node/6049150842,용두,용두,Yongdu,37.5740737,127.0380657,station,station,subway,yes,서울교통공사
node,6049150843,node/6049150843,신답,신답,Sindap,37.5697194,127.0471268,station,station,subway,yes,서울교통공사
node,6050654949,node/6050654949,신중동,신중동,Sinjung-dong,37.5030388,126.7762325,station,station,subway,yes,인천교통공사
node,6050654950,node/6050654950,춘의,춘의,Chunui,37.5037314,126.7872014,station,station,subway,yes,인천교통공사
node,6050654951,node/6050654951,부천종합운동장,부천종합운동장,Bucheon Stadium,37.5054566,126.7972885,station,station,subway,yes,인천교통공사
node,6050654952,node/6050654952,까치울,까치울,Kkachiul,37.5062407,126.8113842,station,station,subway,yes,인천교통공사
node,6050654953,node/6050654953,천왕,천왕,Cheonwang,37.4863668,126.8389218,station,station,subway,yes,서울교통공사
node,6094326921,node/6094326921,수진,수진,Sujin,37.4374429,127.1406857,station,station,subway,yes,
node,6094326922,node/6094326922,신흥,신흥,Sinheung,37.4410027,127.1476641,station,station,,yes,
node,6094326923,node/6094326923,단대오거리,단대오거리,Dandaeogeori,37.4450845,127.1567783,station,station,subway,yes,
