osm_name,osm_lat,osm_lon,osm_full_id,station_cd,station_name,line_code,fr_code,match_level,confidence,reason
안국,37.5768279,126.9861709,node,0318,안국,,,HIGH,0.98,exact_normalized
강일,37.5574822,127.1757633,node,2562,강일,,,HIGH,0.98,exact_normalized
천호,37.5385225,127.1234021,node,2548,천호,,,LOW,0.65,multi_candidate_first
동대문,37.5718616,127.0114887,node,0155,동대문,,,LOW,0.65,multi_candidate_first
삼각지,37.535478,126.9738885,node,0428,삼각지,,,LOW,0.65,multi_candidate_first
도봉산,37.6898359,127.0460783,node,1903,도봉산,,,LOW,0.65,multi_candidate_first
도봉산,37.6891881,127.0465716,node,1903,도봉산,,,LOW,0.65,multi_candidate_first
종각,37.5701745,126.9831831,node,0152,종각,,,HIGH,0.98,exact_normalized
건대입구,37.5404436,127.0708644,node,0212,건대입구,,,LOW,0.65,multi_candidate_first
응암,37.5984296,126.9155283,node,2611,응암,,,HIGH,0.98,exact_normalized
합정,37.5493558,126.9136561,node,0238,합정,,,LOW,0.65,multi_candidate_first
동묘앞,37.5735084,127.0174344,node,0159,동묘앞,,,LOW,0.65,multi_candidate_first
고려대,37.5903784,127.0360133,node,2641,고려대,,,HIGH,0.98,exact_normalized
홍대입구,37.5582622,126.9256952,node,0239,홍대입구,,,LOW,0.65,multi_candidate_first
선릉,37.5044746,127.0489508,node,0220,선릉,,,LOW,0.65,multi_candidate_first
강남구청,37.5171756,127.0412865,node,2732,강남구청,,,LOW,0.65,multi_candidate_first
모란,37.4337388,127.1291547,node,2827,모란,,,LOW,0.65,multi_candidate_first
강남,37.4979497,127.0275574,node,0222,강남,,,LOW,0.65,multi_candidate_first
가락시장,37.4925324,127.1186382,node,0340,가락시장,,,LOW,0.65,multi_candidate_first
을지로3가,37.5663363,126.9925305,node,0203,을지로3가,,,LOW,0.65,multi_candidate_first
불광,37.6108807,126.9296307,node,0312,불광,,,LOW,0.65,multi_candidate_first
구의,37.5371676,127.0862214,node,0213,구의,,,HIGH,0.98,exact_normalized
강변,37.5351109,127.0947415,node,0214,강변,,,HIGH,0.98,exact_normalized
잠실나루,37.520691,127.1038301,node,0215,잠실나루,,,HIGH,0.98,exact_normalized
충무로,37.5612019,126.9941091,node,0321,충무로,,,LOW,0.65,multi_candidate_first
약수,37.5549186,127.0103868,node,0323,약수,,,LOW,0.65,multi_candidate_first
교대,37.4936592,127.0137025,node,0223,교대,,,LOW,0.65,multi_candidate_first
오금,37.5019815,127.1281525,node,0342,오금,,,LOW,0.65,multi_candidate_first
한양대,37.5557271,127.0436642,node,0209,한양대,,,HIGH,0.98,exact_normalized
성수,37.5445688,127.0561016,node,0211,성수,,,HIGH,0.98,exact_normalized
시청,37.5654798,126.977114,node,0151,시청,,,LOW,0.65,multi_candidate_first
을지로입구,37.5659494,126.9826171,node,0202,을지로입구,,,HIGH,0.98,exact_normalized
을지로4가,37.5666425,126.9981685,node,0204,을지로4가,,,LOW,0.65,multi_candidate_first
신당,37.5653839,127.016252,node,0206,신당,,,LOW,0.65,multi_candidate_first
상왕십리,37.564391,127.0292513,node,0207,상왕십리,,,HIGH,0.98,exact_normalized
신촌,37.5551517,126.9369084,node,0240,신촌,,,LOW,0.65,multi_candidate_first
이대,37.5567733,126.9458346,node,0241,이대,,,HIGH,0.98,exact_normalized
아현,37.5574309,126.9561209,node,0242,아현,,,HIGH,0.98,exact_normalized
지축,37.6481183,126.9139297,node,0309,지축,,,HIGH,0.98,exact_normalized
원흥,37.6505121,126.8736684,node,1948,원흥,,,HIGH,0.98,exact_normalized
원당,37.6530498,126.8428981,node,1951,원당,,,HIGH,0.98,exact_normalized
화정,37.6346457,126.832577,node,1952,화정,,,HIGH,0.98,exact_normalized
대곡,37.6317813,126.8102838,node,1953,대곡,,,LOW,0.65,multi_candidate_first
마두,37.6520039,126.7777596,node,1955,마두,,,HIGH,0.98,exact_normalized
정발산,37.659711,126.7732651,node,1956,정발산,,,HIGH,0.98,exact_normalized
삼송,37.6531194,126.8954796,node,1950,삼송,,,HIGH,0.98,exact_normalized
마곡나루,37.5662179,126.827917,node,4105,마곡나루,,,LOW,0.65,multi_candidate_first
당산,37.5345964,126.902478,node,0237,당산,,,LOW,0.65,multi_candidate_first
문래,37.5183839,126.8948726,node,0235,문래,,,HIGH,0.98,exact_normalized
신도림,37.5089397,126.8912262,node,1007,신도림,,,LOW,0.65,multi_candidate_first
구로디지털단지,37.4852761,126.9015916,node,0232,구로디지털단지,,,HIGH,0.98,exact_normalized
신대방,37.4875949,126.9133919,node,0231,신대방,,,HIGH,0.98,exact_normalized
신림,37.4842316,126.9296803,node,0230,신림,,,LOW,0.65,multi_candidate_first
봉천,37.4823889,126.9419387,node,0229,봉천,,,HIGH,0.98,exact_normalized
서울대입구,37.481223,126.9527151,node,0228,서울대입구,,,HIGH,0.98,exact_normalized
낙성대,37.4770623,126.9634876,node,0227,낙성대,,,HIGH,0.98,exact_normalized
방배,37.4814662,126.9977072,node,0225,방배,,,HIGH,0.98,exact_normalized
서초,37.4917747,127.007681,node,0224,서초,,,HIGH,0.98,exact_normalized
